image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0004c9478eeda995.jpg,DRIP,336,336,5,145,1199.0,30944.0,28420,3723,0.03874741468459152,0.3220521085146387
0004c9478eeda995.jpg,Fixed,336,336,5,144,1083.0,30864.0,28224,3723,0.035089424572317264,0.2908944399677679
0004c9478eeda995.jpg,PruneSID,336,336,5,143,1704.0,30047.0,28028,3723,0.056711152527706594,0.45769540692989524
00054dab88635bdb.jpg,DRIP,336,336,3,145,476.0,29384.0,28420,1440,0.016199292131772392,0.33055555555555555
00054dab88635bdb.jpg,Fixed,336,336,3,144,222.0,29442.0,28224,1440,0.007540248624414102,0.15416666666666667
00054dab88635bdb.jpg,PruneSID,336,336,3,143,980.0,28488.0,28028,1440,0.034400449311991016,0.6805555555555556
000adfe5b817011c.jpg,DRIP,336,336,6,144,1499.0,30435.0,28224,3710,0.049252505339247576,0.4040431266846361
000adfe5b817011c.jpg,Fixed,336,336,6,144,1347.0,30587.0,28224,3710,0.04403831693202995,0.3630727762803235
000adfe5b817011c.jpg,PruneSID,336,336,6,143,1600.0,30138.0,28028,3710,0.05308912336585042,0.431266846361186
000fd38f35d0ad0c.jpg,DRIP,336,336,20,144,3491.0,34488.0,28224,9755,0.10122361401067038,0.35786776012301386
000fd38f35d0ad0c.jpg,Fixed,336,336,20,144,2422.0,35557.0,28224,9755,0.06811598278819923,0.24828293182983086
000fd38f35d0ad0c.jpg,PruneSID,336,336,20,143,4203.0,33580.0,28028,9755,0.1251637879690292,0.4308559712967709
001512d120e1e800.jpg,DRIP,336,336,3,144,1241.0,29638.0,28224,2655,0.04187192118226601,0.4674199623352166
001512d120e1e800.jpg,Fixed,336,336,3,144,668.0,30211.0,28224,2655,0.02211115156730992,0.25160075329566856
001512d120e1e800.jpg,PruneSID,336,336,3,143,1326.0,29357.0,28028,2655,0.045168103007800525,0.4994350282485876
00155bc9538a26ed.jpg,DRIP,336,336,0,144,,,28224,0,,
00155bc9538a26ed.jpg,Fixed,336,336,0,144,,,28224,0,,
00155bc9538a26ed.jpg,PruneSID,336,336,0,143,,,28028,0,,
00165f9e139aedaf.jpg,DRIP,336,336,9,144,8145.0,36348.0,28224,16269,0.224083856058105,0.500645399225521
00165f9e139aedaf.jpg,Fixed,336,336,9,144,3910.0,40583.0,28224,16269,0.09634576054012764,0.24033437826541273
00165f9e139aedaf.jpg,PruneSID,336,336,9,143,5188.0,39109.0,28028,16269,0.13265488762177505,0.3188886840002459
0017c0c45277ee1a.jpg,DRIP,336,336,41,144,5434.0,46525.0,28224,23735,0.1167974207415368,0.2289445965873183
0017c0c45277ee1a.jpg,Fixed,336,336,41,144,6430.0,45529.0,28224,23735,0.1412286674427288,0.2709079418580156
0017c0c45277ee1a.jpg,PruneSID,336,336,41,143,7112.0,44651.0,28028,23735,0.15927974737407896,0.2996418790815252
001ce300279f1a81.jpg,DRIP,336,336,1,144,196.0,29237.0,28224,1209,0.006703834182713685,0.1621174524400331
001ce300279f1a81.jpg,Fixed,336,336,1,144,434.0,28999.0,28224,1209,0.0149660333114935,0.358974358974359
001ce300279f1a81.jpg,PruneSID,336,336,1,143,700.0,28537.0,28028,1209,0.024529558117531627,0.5789909015715468
001e68b987a389d5.jpg,DRIP,336,336,0,144,,,28224,0,,
001e68b987a389d5.jpg,Fixed,336,336,0,144,,,28224,0,,
001e68b987a389d5.jpg,PruneSID,336,336,0,143,,,28028,0,,
0021804a9f9d5db6.jpg,DRIP,336,336,1,144,1316.0,29358.0,28224,2450,0.04482594182164998,0.5371428571428571
0021804a9f9d5db6.jpg,Fixed,336,336,1,144,490.0,30184.0,28224,2450,0.016233766233766232,0.2
0021804a9f9d5db6.jpg,PruneSID,336,336,1,143,1750.0,28728.0,28028,2450,0.060916179337231965,0.7142857142857143
0024fa464b466993.jpg,DRIP,336,336,2,144,420.0,29694.0,28224,1890,0.014144271570014143,0.2222222222222222
0024fa464b466993.jpg,Fixed,336,336,2,144,434.0,29680.0,28224,1890,0.014622641509433962,0.22962962962962963
0024fa464b466993.jpg,PruneSID,336,336,2,143,882.0,29036.0,28028,1890,0.03037608486017358,0.4666666666666667
002a1fb97133ae95.jpg,DRIP,336,336,8,145,9944.0,44701.0,28420,26225,0.22245587347039217,0.37918017159199235
002a1fb97133ae95.jpg,Fixed,336,336,8,144,6683.0,47766.0,28224,26225,0.13991123393208557,0.25483317445185893
002a1fb97133ae95.jpg,PruneSID,336,336,8,143,8281.0,45972.0,28028,26225,0.18013138432089099,0.315767397521449
002b6c5e434980df.jpg,DRIP,336,336,3,144,3452.0,34504.0,28224,9732,0.10004637143519592,0.3547061241265927
002b6c5e434980df.jpg,Fixed,336,336,3,144,2476.0,35480.0,28224,9732,0.0697857948139797,0.2544184134812988
002b6c5e434980df.jpg,PruneSID,336,336,3,143,2183.0,35577.0,28028,9732,0.06135986733001658,0.2243115495273325
002cc8bb1d50cde0.jpg,DRIP,336,336,6,145,2947.0,30227.0,28420,4754,0.09749561650180302,0.6198990323937736
002cc8bb1d50cde0.jpg,Fixed,336,336,6,144,1156.0,31822.0,28224,4754,0.0363270693231098,0.24316365166175852
002cc8bb1d50cde0.jpg,PruneSID,336,336,6,143,2655.0,30127.0,28028,4754,0.08812692933249244,0.5584770719394194
002ce32086fb7258.jpg,DRIP,336,336,7,144,9339.0,43601.0,28224,24716,0.2141923350381872,0.3778524033015051
002ce32086fb7258.jpg,Fixed,336,336,7,144,6212.0,46728.0,28224,24716,0.13293956514295496,0.2513351675028322
002ce32086fb7258.jpg,PruneSID,336,336,7,143,8043.0,44701.0,28028,24716,0.17992886065188698,0.32541673409936883
002f860e692757f7.jpg,DRIP,336,336,2,144,2665.0,29562.0,28224,4003,0.0901495162708883,0.6657506869847615
002f860e692757f7.jpg,Fixed,336,336,2,144,979.0,31248.0,28224,4003,0.0313300051203277,0.24456657506869847
002f860e692757f7.jpg,PruneSID,336,336,2,143,1442.0,30589.0,28028,4003,0.04714112916407859,0.360229827629278
0031bff54b02c9c1.jpg,DRIP,336,336,0,145,,,28420,0,,
0031bff54b02c9c1.jpg,Fixed,336,336,0,144,,,28224,0,,
0031bff54b02c9c1.jpg,PruneSID,336,336,0,143,,,28028,0,,
00351a1451e059a5.jpg,DRIP,336,336,2,144,2379.0,30825.0,28224,4980,0.07717761557177616,0.47771084337349395
00351a1451e059a5.jpg,Fixed,336,336,2,144,842.0,32362.0,28224,4980,0.026018169458006304,0.16907630522088354
00351a1451e059a5.jpg,PruneSID,336,336,2,143,2364.0,30644.0,28028,4980,0.07714397598224774,0.4746987951807229
003679d4dc2e6856.jpg,DRIP,336,336,2,145,132.0,31143.0,28420,2855,0.0042385126673730854,0.04623467600700525
